Cmpd1	Cmpd2	TS
COc1ccc(cc1)C(CN(C)C)C1(O)CCCCC1	CCCOc1ccc(cc1N)C(=O)OCCN(CC)CC	0.7446042895317078
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)cc(C)c2O1	0.7435294389724731
CC(C)CC(N(C)C)C1(CCC1)c1ccc(Cl)cc1	CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)c1ccccc1	0.7424242496490479
CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	0.7413793206214905
C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c1cccc2ccccc12	CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1	0.7404371500015259
C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(=O)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O	CC(C)=CCC\C(C)=C\CC\C(C)=C\[C@H]1[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@]1(C)CC\C=C(/C)CCC=C(C)C	0.7394209504127502
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	C[C@]12CC[C@H]3C([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31	0.7384341359138489
CC(=O)N[C@@H](CC([O-])=O)C([O-])=O	C[N+](C)(C)CCCC(O)[C@H](N)C(O)=O	0.7374301552772522
C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN	NC(=O)CS(=O)C(c1ccccc1)c1ccccc1	0.7364016771316528
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c1ccccc1	CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12	0.7354651093482971
